id,platform,date,text,motivation_type,purchase_intent
1,instagram,2025-01-01,這款平替包包顏色太美了吧，看到心情就很好，直接下單不猶豫！,hedonic,strong
2,dcard,2025-01-02,雖然說是某牌平替，CP值很高，但我還是在觀望，怕質感不好。,utilitarian,weak
3,ptt,2025-01-02,這個香水平替味道很療癒，完全是我的菜，為了這瓶我願意吃土，已入手！,,
4,facebook,2025-01-03,便宜是便宜，功能也差不多，但就覺得少了點什麼，先放購物車考慮一下。,utilitarian,weak
5,tiktok,2025-01-03,天啊這個口紅平替包裝太夢幻了！拿在手上就有儀式感，忍不住買了三支。,hedonic,strong
6,instagram,2025-01-04,純粹為了省錢才看這款平替，但好像沒必要現在買，等發薪水再說。,utilitarian,weak
7,dcard,2025-01-05,跟風買了這個平替玩具，原本只是好玩，結果超舒壓！這錢花得太值得了。,hedonic,none
8,ptt,2025-01-05,這款粉底平替遮瑕力不錯，適合通勤粗用，不過手邊還有剩，先不買。,utilitarian,none
9,facebook,2025-01-06,看到大家都在推這個平替，說是為了快樂而買，我也跟風下單了，期待！,hedonic,strong
10,tiktok,2025-01-07,這個平替耳機主打耐用便宜，但我對音質要求不高，還是先用舊的好了。,utilitarian,none
11,instagram,2025-01-08,這件平替大衣穿起來氣場全開，感覺自己像韓劇女主角，立刻刷卡帶走。,hedonic,strong
12,dcard,2025-01-09,真的很便宜，是學生的好朋友，但我覺得實用性還好，再考慮看看。,utilitarian,weak
13,ptt,2025-01-10,雖然是平替，但那個光澤感太高級了，化妝就是為了讓自己開心，必買！,hedonic,strong
14,facebook,2025-01-11,這款平替主打功能多，CP值爆表，但我其實用不到那麼多功能，猶豫中。,utilitarian,weak
15,tiktok,2025-01-12,這個平替手機殼太可愛了！看著就覺得療癒，不管有沒有用，先買再說。,hedonic,strong
16,instagram,2025-01-13,為了省錢找的平替，確實很划算，但總覺得少了正版的質感，沒什麼購買衝動。,utilitarian,none
17,dcard,2025-01-14,這款香氛平替讓我房間充滿高級感，每天回家都很享受，無限回購！,hedonic,strong
18,ptt,2025-01-15,號稱平價版戴森，風力很強，實用性滿分，但我現在吹風機還沒壞，先存著。,utilitarian,weak
19,facebook,2025-01-16,這款平替鞋子設計好潮，穿出去肯定很吸睛，為了搭配我的新衣服直接買了。,hedonic,strong
20,tiktok,2025-01-17,價格只有大牌的十分之一，很適合小資族，但我還在比價，不急著買。,utilitarian,weak
21,instagram,2025-01-18,這個平替眼影盤顏色太美，畫完妝心情會變好，這種快樂無價，買！,hedonic,strong
22,dcard,2025-01-19,這款平替背包耐磨防水，很實用，但外型太普通了，我再看看別的。,utilitarian,weak
23,ptt,2025-01-20,雖然是平替，但這個聯名款太有收藏價值了，為了信仰必須充值！,hedonic,strong
24,facebook,2025-01-21,很適合拿來當工作用的平替，不怕弄髒，不過最近沒什麼案子，暫時不買。,utilitarian,weak
25,tiktok,2025-01-22,這個平替飾品戴起來超顯白，拍照效果超好，為了發IG直接下單了。,hedonic,strong
26,instagram,2025-01-23,這款平替乳液很大罐，CP值高，但我還有很多庫存，應該不會買。,utilitarian,none
27,dcard,2025-01-24,這個平替公仔做得好精緻，擺在桌上看了就開心，錢錢變成喜歡的樣子了。,hedonic,none
28,ptt,2025-01-25,這款平替鍵盤主打靜音實用，適合辦公室，但我對手感比較挑，先去試打再說。,utilitarian,weak
29,facebook,2025-01-26,為了這個平替的限定色買的，顏色太夢幻了，完全抵擋不住誘惑。,hedonic,strong
30,tiktok,2025-01-27,這款平替收納盒很實用，可以省空間，但我覺得家裡好像也不缺，再想想。,utilitarian,weak
31,instagram,2025-01-28,這個平替蠟燭的味道讓我想到去海邊度假，為了這份放鬆感，直接包軌。,hedonic,strong
32,dcard,2025-01-29,這款平替沖牙機功能很強，但我看評價說很容易壞，雖然便宜但不敢買。,utilitarian,none
33,ptt,2025-01-30,這件平替洋裝穿去約會超適合，感覺自己變漂亮了，為了週五晚上買了！,hedonic,strong
34,facebook,2025-01-31,這款平替行動電源容量大又便宜，很實用，但我包包太小放不下，算了。,utilitarian,weak
35,tiktok,2025-02-01,這個平替美甲貼片好方便，隨時可以換造型心情好，立刻下單五組。,hedonic,strong
36,instagram,2025-02-02,這款平替洗面乳主打便宜大碗，但我皮膚敏感，不敢亂買，還是先觀望。,utilitarian,weak
37,dcard,2025-02-03,這款平替墨鏡戴起來超有型，為了去海邊玩特地買的，期待！,hedonic,strong
38,ptt,2025-02-04,這款平替滑鼠主打人體工學，對手腕好，但我覺得現在用的也沒問題，不急。,utilitarian,none
39,facebook,2025-02-05,這個平替抱枕摸起來好舒服，抱著睡覺超有安全感，馬上買了一個。,hedonic,strong
40,tiktok,2025-02-06,這款平替衛生紙真的很便宜，CP值高，但我家裡還有一箱，先不囤貨。,utilitarian,weak
41,instagram,2025-02-07,這個平替髮夾太精緻了，戴上去整個人氣質都不一樣，為了漂亮必須買。,hedonic,strong
42,dcard,2025-02-08,這款平替拖鞋主打防滑耐穿，很適合浴室，但我舊的還沒壞，忍住沒買。,utilitarian,weak
43,ptt,2025-02-09,這個平替模型細節做得很好，組裝過程很享受，為了這份樂趣下單了。,hedonic,strong
44,facebook,2025-02-10,這款平替筆電架很便宜，功能也夠，但我覺得有點佔空間，還在猶豫。,utilitarian,weak
45,tiktok,2025-02-11,這個平替小夜燈太可愛了，放在床頭心情就很好，為了裝飾房間買的。,hedonic,none
46,instagram,2025-02-12,這款平替襪子十雙一百，超級便宜，但花色我不喜歡，應該不會買。,utilitarian,none
47,dcard,2025-02-13,這個平替手機掛繩好潮，搭配衣服超好看，為了穿搭直接入手。,hedonic,strong
48,ptt,2025-02-14,這款平替雨傘主打抗風耐用，很實用，但我很少出門，買了也是浪費。,utilitarian,none
